"game_id","type","date","home_team","home_conference","home_pts","home_sq_pts","away_team","away_conference","away_pts","away_sq_pts","line","projected_home_score","projected_away_score","value","value_side","play","result","value_type","closing_line","closing_line_value"
19537081614391,"spread","2023-06-29","Phoenix Mercury",NA,85,80.69080973,"Indiana Fever",NA,63,81.47376525,3.5,84.3,82.8,5,"Phoenix Mercury",1,1,"Dog",2.5,1
19537081614391,"total","2023-06-29","Phoenix Mercury",NA,85,80.69080973,"Indiana Fever",NA,63,81.47376525,161,84.3,82.8,6.1,"Over",1,-1.1,"Over",162.5,1.5
19537092412511,"spread","2023-06-29","Las Vegas Aces",NA,98,81.60211539,"New York Liberty",NA,81,81.16333413,-7.5,91,86.6,3.1,"New York Liberty",1,-1.1,"Dog",-6.5,-1
19537092412511,"total","2023-06-29","Las Vegas Aces",NA,98,81.60211539,"New York Liberty",NA,81,81.16333413,173.5,91,86.6,4.1,"Over",1,1,"Over",175.5,2
19537113316321,"spread","2023-06-29","Seattle Storm",NA,97,99.38142872,"Minnesota Lynx",NA,99,99.06008422,-2.5,82,79.4,0.1,"Seattle Storm",0,0,"Fav",-2.5,NA
19537113316321,"total","2023-06-29","Seattle Storm",NA,97,99.38142872,"Minnesota Lynx",NA,99,99.06008422,161.5,82,79.4,0.1,"Under",0,0,"Under",162.5,NA
19538009120251,"spread","2023-06-30","Atlanta Dream",NA,94,90.768852,"Washington Mystics",NA,89,89.83774686,2.5,79.7,87.1,4.9,"Washington Mystics",1,-1.1,"Fav",2.5,0
19538009120251,"total","2023-06-30","Atlanta Dream",NA,94,90.768852,"Washington Mystics",NA,89,89.83774686,164.5,79.7,87.1,2.3,"Over",0,0,"Over",164.5,NA
19538034609851,"spread","2023-06-30","Chicago Sky",NA,86,73.64679307,"Los Angeles Sparks",NA,78,91.29568344,-2.5,81.5,78.5,0.5,"Chicago Sky",0,0,"Fav",-2.5,NA
19538034609851,"total","2023-06-30","Chicago Sky",NA,86,73.64679307,"Los Angeles Sparks",NA,78,91.29568344,155.5,81.5,78.5,4.5,"Over",0,0,"Over",155.5,NA
19540009109851,"spread","2023-07-02","Atlanta Dream",NA,112,97.2687003,"Los Angeles Sparks",NA,84,90.4648546,-3.5,81.3,82.2,4.4,"Los Angeles Sparks",1,-1.1,"Dog",-5,1.5
19540009109851,"total","2023-07-02","Atlanta Dream",NA,112,97.2687003,"Los Angeles Sparks",NA,84,90.4648546,167.5,81.3,82.2,4,"Under",0,0,"Under",166,NA
19540034608161,"spread","2023-07-02","Indiana Fever",NA,87,85.924595,"Chicago Sky",NA,89,79.39065659,-2.5,78.8,78.8,2.5,"Chicago Sky",0,0,"Dog",-3,NA
19540034608161,"total","2023-07-02","Indiana Fever",NA,87,85.924595,"Chicago Sky",NA,89,79.39065659,161.5,78.8,78.8,3.9,"Under",0,0,"Under",159.5,NA
19540047020251,"spread","2023-07-02","Dallas Wings",NA,89,92.38218212,"Washington Mystics",NA,72,89.30076867,-4.5,84,80.7,1.2,"Washington Mystics",0,0,"Dog",-6.5,NA
19540047020251,"total","2023-07-02","Dallas Wings",NA,89,92.38218212,"Washington Mystics",NA,72,89.30076867,164,84,80.7,0.7,"Over",0,0,"Over",161.5,NA
19540125116321,"spread","2023-07-02","Seattle Storm",NA,66,78.36139095,"New York Liberty",NA,81,81.79084718,8.5,81.9,92.2,1.8,"New York Liberty",0,0,"Fav",10.5,NA
19540125116321,"total","2023-07-02","Seattle Storm",NA,66,78.36139095,"New York Liberty",NA,81,81.79084718,168.5,81.9,92.2,5.6,"Over",1,-1.1,"Over",170.5,2
19543009109851,"spread","2023-07-05","Los Angeles Sparks",NA,79,82.78947592,"Atlanta Dream",NA,90,81.74401307,-1.5,84.6,82,1.1,"Los Angeles Sparks",0,0,"Fav",-1.5,NA
19543009109851,"total","2023-07-05","Los Angeles Sparks",NA,79,82.78947592,"Atlanta Dream",NA,90,81.74401307,168,84.6,82.1,1.3,"Under",0,0,"Under",168.5,NA
19543047009241,"spread","2023-07-05","Las Vegas Aces",NA,89,88.9200058,"Dallas Wings",NA,82,90.47481692,-14.5,89.8,80.8,5.5,"Dallas Wings",1,1,"Dog",-12.5,-2
19543047009241,"total","2023-07-05","Las Vegas Aces",NA,89,88.9200058,"Dallas Wings",NA,82,90.47481692,170.1,89.8,82,1.7,"Over",1,1,"Over",172,1.9
19543081611331,"spread","2023-07-05","Minnesota Lynx",NA,90,86.27797955,"Indiana Fever",NA,83,86.41176891,-1.5,83,80.8,0.7,"Minnesota Lynx",0,0,"Fav",-2,NA
19543081611331,"total","2023-07-05","Minnesota Lynx",NA,90,86.27797955,"Indiana Fever",NA,83,86.41176891,165.5,83,80.8,1.7,"Under",0,0,"Under",165.5,NA
19543125114391,"spread","2023-07-05","New York Liberty",NA,99,92.65060526,"Phoenix Mercury",NA,95,88.65247881,-15,90.1,83,7.9,"Phoenix Mercury",1,1,"Dog",-15.5,0.5
19543125114391,"total","2023-07-05","New York Liberty",NA,99,92.65060526,"Phoenix Mercury",NA,95,88.65247881,164.5,90.1,83,8.6,"Over",1,1,"Over",166.5,2
19544043816321,"spread","2023-07-06","Connecticut Sun",NA,93,77.89795512,"Seattle Storm",NA,73,85.13366836,-9.5,84,82.6,8.1,"Seattle Storm",1,-1.1,"Dog",-10.5,1
19544043816321,"total","2023-07-06","Connecticut Sun",NA,93,77.89795512,"Seattle Storm",NA,73,85.13366836,164.5,84,82.6,2.1,"Over",0,0,"Over",166,NA
19545009103461,"spread","2023-07-07","Chicago Sky",NA,68,81.14421356,"Atlanta Dream",NA,82,85.49839604,-1.5,82.6,81.1,0,NA,0,0,NA,-1,NA
19545009103461,"total","2023-07-07","Chicago Sky",NA,68,81.14421356,"Atlanta Dream",NA,82,85.49839604,169.5,82.6,81.1,5.8,"Under",1,1,"Under",169.5,0
19545047009241,"spread","2023-07-07","Dallas Wings",NA,80,83.56376493,"Las Vegas Aces",NA,78,78.20784354,9.5,82.3,89.5,2.3,"Dallas Wings",0,0,"Dog",10,NA
19545047009241,"total","2023-07-07","Dallas Wings",NA,80,83.56376493,"Las Vegas Aces",NA,78,78.20784354,174.5,82.3,89.5,2.7,"Under",0,0,"Under",177.5,NA
19545081620251,"spread","2023-07-07","Washington Mystics",NA,96,93.14562148,"Indiana Fever",NA,88,72.85981691,-3.5,82.5,84.6,5.6,"Indiana Fever",1,-1.1,"Dog",-1,-2.5
